image,mask,text,label,coord
/disk/SYZ/Pelvicdata/left_hip/source/left_hip_s0030.nii.gz,/disk/SYZ/Pelvicdata/left_hip/label/left_hip_s0030.nii.gz,"The greater and lesser sciatic notches of the left hip bone are important anatomical landmarks, serving as passages for nerves and blood vessels.",1,"[-0.2992,0.394,0.2529]"
/disk/SYZ/Pelvicdata/left_hip/source/left_hip_s0031.nii.gz,/disk/SYZ/Pelvicdata/left_hip/label/left_hip_s0031.nii.gz,"The anterior superior iliac spine of the left hip bone is a prominent point on the anterior part of the iliac crest, an important surface landmark and muscle attachment site.",1,"[-0.2409,0.3279,0.2301]"
/disk/SYZ/Pelvicdata/left_hip/source/left_hip_s0034.nii.gz,/disk/SYZ/Pelvicdata/left_hip/label/left_hip_s0034.nii.gz,"The left hip bone's pubic component is primarily composed of the superior and inferior pubic rami, which collectively contribute to pelvic stabilization.",1,"[-0.3499,0.3542,0.2739]"
/disk/SYZ/Pelvicdata/left_hip/source/left_hip_s0038.nii.gz,/disk/SYZ/Pelvicdata/left_hip/label/left_hip_s0038.nii.gz,"The pubic symphysis surface of the left hip bone is a smooth articular surface, forming a fibrocartilaginous joint with the contralateral pubis.",1,"[-0.2349,0.2963,0.1816]"
/disk/SYZ/Pelvicdata/left_hip/source/left_hip_s0040.nii.gz,/disk/SYZ/Pelvicdata/left_hip/label/left_hip_s0040.nii.gz,"The ischial tuberosity of the left hip bone is a prominent structure posteroinferiorly, serving as the main weight-bearing site during sitting.",1,"[-0.2353,0.3555,0.3133]"
/disk/SYZ/Pelvicdata/left_hip/source/left_hip_s0042.nii.gz,/disk/SYZ/Pelvicdata/left_hip/label/left_hip_s0042.nii.gz,"The pubic symphysis surface of the left hip bone contributes to the anterior wall of the pelvis, providing support for the pelvic organs.",1,"[-0.2588,0.3303,0.2736]"
/disk/SYZ/Pelvicdata/left_hip/source/left_hip_s0045.nii.gz,/disk/SYZ/Pelvicdata/left_hip/label/left_hip_s0045.nii.gz,"On axial CT sections, the acetabulum of the left hip bone appears as a cup-shaped structure, matching well with the femoral head.",1,"[-0.2929,0.3003,0.2928]"
/disk/SYZ/Pelvicdata/left_hip/source/left_hip_s0049.nii.gz,/disk/SYZ/Pelvicdata/left_hip/label/left_hip_s0049.nii.gz,Coronal CT reconstructions show the anterior-posterior relationship between the iliac wing and the pubic symphysis of the left hip bone.,1,"[-0.2272,0.3096,0.2964]"
/disk/SYZ/Pelvicdata/left_hip/source/left_hip_s0052.nii.gz,/disk/SYZ/Pelvicdata/left_hip/label/left_hip_s0052.nii.gz,Sagittal CT reconstructions clearly show the anterior and posterior walls of the acetabulum and the columnar structures of the left hip bone.,1,"[-0.2631,0.299,0.3167]"
/disk/SYZ/Pelvicdata/left_hip/source/left_hip_s0053.nii.gz,/disk/SYZ/Pelvicdata/left_hip/label/left_hip_s0053.nii.gz,"On CT, the articular surface of the acetabulum of the left hip bone is smooth, forming a good joint relationship with the femoral head.",1,"[-0.2277,0.4086,0.3744]"
/disk/SYZ/Pelvicdata/left_hip/source/left_hip_s0054.nii.gz,/disk/SYZ/Pelvicdata/left_hip/label/left_hip_s0054.nii.gz,"On axial CT sections, the iliac wing of the left hip bone extends laterally, forming the lateral wall of the pelvis.",1,"[-0.319,0.4029,-0.469]"
/disk/SYZ/Pelvicdata/left_hip/source/left_hip_s0058.nii.gz,/disk/SYZ/Pelvicdata/left_hip/label/left_hip_s0058.nii.gz,"On CT, the pubic symphysis surface of the left hip bone is smooth, forming a fibrocartilaginous joint with the contralateral pubis.",1,"[-0.2748,0.4147,0.8502]"
/disk/SYZ/Pelvicdata/left_hip/source/left_hip_s0059.nii.gz,/disk/SYZ/Pelvicdata/left_hip/label/left_hip_s0059.nii.gz,"CT shows the high density of the ischial tuberosity of the left hip bone, which is the weight-bearing site during sitting.",1,"[-0.377,0.3456,0.2669]"
/disk/SYZ/Pelvicdata/left_hip/source/left_hip_s0065.nii.gz,/disk/SYZ/Pelvicdata/left_hip/label/left_hip_s0065.nii.gz,"On CT, the anterior and posterior walls of the acetabulum of the left hip bone have different thicknesses, with the posterior wall being thicker and providing additional stability.",1,"[-0.1685,0.2746,0.2285]"
/disk/SYZ/Pelvicdata/left_hip/source/left_hip_s0072.nii.gz,/disk/SYZ/Pelvicdata/left_hip/label/left_hip_s0072.nii.gz,"CT shows the anatomical relationship between the ilium, pubis, and ischium of the left hip bone, with clear structures.",1,"[-0.303,0.3266,0.2633]"
/disk/SYZ/Pelvicdata/left_hip/source/left_hip_s0075.nii.gz,/disk/SYZ/Pelvicdata/left_hip/label/left_hip_s0075.nii.gz,"CT shows the smooth medial surface of the left hip bone, which extends into the pelvic cavity.",1,"[-0.2762,0.3154,0.2169]"
/disk/SYZ/Pelvicdata/left_hip/source/left_hip_s0076.nii.gz,/disk/SYZ/Pelvicdata/left_hip/label/left_hip_s0076.nii.gz,"The left hip bone consists of the ilium, ischium, and pubis, which fuse to form the acetabulum.",1,"[-0.2965,0.352,0.283]"
/disk/SYZ/Pelvicdata/left_hip/source/left_hip_s0077.nii.gz,/disk/SYZ/Pelvicdata/left_hip/label/left_hip_s0077.nii.gz,"The ilium is fan-shaped, forming the upper part of the left hip bone and contributing to the pelvic sidewall.",1,"[-0.139,0.3139,0.1192]"
/disk/SYZ/Pelvicdata/left_hip/source/left_hip_s0078.nii.gz,/disk/SYZ/Pelvicdata/left_hip/label/left_hip_s0078.nii.gz,"The left hip bone articulates with the sacrum via the auricular surface, with distinct joint space on CT.",1,"[-0.2058,0.2862,-0.6056]"
/disk/SYZ/Pelvicdata/left_hip/source/left_hip_s0086.nii.gz,/disk/SYZ/Pelvicdata/left_hip/label/left_hip_s0086.nii.gz,"The articular surface of the left hip bone and femoral head is half-moon-shaped, and CT shows uniform subchondral bone density.",1,"[-0.2024,0.319,0.2531]"
/disk/SYZ/Pelvicdata/left_hip/source/left_hip_s0089.nii.gz,/disk/SYZ/Pelvicdata/left_hip/label/left_hip_s0089.nii.gz,"The left hip bone is an irregular flat bone, with complete anatomical visualization on CT 3D reconstruction.",1,"[-0.2926,0.3368,0.3301]"
/disk/SYZ/Pelvicdata/left_hip/source/left_hip_s0090.nii.gz,/disk/SYZ/Pelvicdata/left_hip/label/left_hip_s0090.nii.gz,"The left hip bone is a key component of the pelvis, formed by the fusion of the ilium, ischium, and pubis.",1,"[-0.1835,0.3201,0.2178]"
/disk/SYZ/Pelvicdata/left_hip/source/left_hip_s0091.nii.gz,/disk/SYZ/Pelvicdata/left_hip/label/left_hip_s0091.nii.gz,"The left hip bone has an irregular shape and contributes to the anterior, lateral, and posterior walls of the pelvis.",1,"[-0.2222,0.3258,0.3547]"
/disk/SYZ/Pelvicdata/left_hip/source/left_hip_s0095.nii.gz,/disk/SYZ/Pelvicdata/left_hip/label/left_hip_s0095.nii.gz,"The upper part of the left hip bone is the ilium, while the lower part consists of the ischium and pubis.",1,"[-0.2606,0.3815,0.3461]"
/disk/SYZ/Pelvicdata/left_hip/source/left_hip_s0096.nii.gz,/disk/SYZ/Pelvicdata/left_hip/label/left_hip_s0096.nii.gz,The ilium of the left hip bone is broad and forms the iliac wing.,1,"[-0.2203,0.3218,0.0371]"
/disk/SYZ/Pelvicdata/left_hip/source/left_hip_s0098.nii.gz,/disk/SYZ/Pelvicdata/left_hip/label/left_hip_s0098.nii.gz,"The upper border of the iliac bone of the left hip bone, called the iliac crest, is an important bony landmark.",1,"[-0.2109,0.3172,0.2714]"
/disk/SYZ/Pelvicdata/left_hip/source/left_hip_s0104.nii.gz,/disk/SYZ/Pelvicdata/left_hip/label/left_hip_s0104.nii.gz,The anterior part of the iliac bone of the left hip bone has the anterior superior iliac spine and the anterior inferior iliac spine.,1,"[-0.1533,0.2684,0.3846]"
/disk/SYZ/Pelvicdata/left_hip/source/left_hip_s0108.nii.gz,/disk/SYZ/Pelvicdata/left_hip/label/left_hip_s0108.nii.gz,The posterior part of the iliac bone of the left hip bone has the posterior superior iliac spine and the posterior inferior iliac spine.,1,"[-0.2114,0.3401,0.2845]"
/disk/SYZ/Pelvicdata/left_hip/source/left_hip_s0109.nii.gz,/disk/SYZ/Pelvicdata/left_hip/label/left_hip_s0109.nii.gz,"The lateral side of the iliac bone of the left hip bone has a gluteal attachment surface, which is divided into three gluteal lines: anterior, middle, and posterior.",1,"[-0.2338,0.3173,0.2385]"
/disk/SYZ/Pelvicdata/left_hip/source/left_hip_s0117.nii.gz,/disk/SYZ/Pelvicdata/left_hip/label/left_hip_s0117.nii.gz,The ischium of the left hip bone includes the ischial body and the ischial ramus.,1,"[-0.1907,0.3286,0.0148]"
/disk/SYZ/Pelvicdata/left_hip/source/left_hip_s0119.nii.gz,/disk/SYZ/Pelvicdata/left_hip/label/left_hip_s0119.nii.gz,The ischial tuberosity at the lower end of the ischial body of the left hip bone is an important weight-bearing structure.,1,"[-0.2428,0.3306,-0.0132]"
/disk/SYZ/Pelvicdata/left_hip/source/left_hip_s0124.nii.gz,/disk/SYZ/Pelvicdata/left_hip/label/left_hip_s0124.nii.gz,The ischial ramus of the left hip bone extends anteriorly to join the inferior pubic ramus.,1,"[-0.2368,0.2967,-0.037]"
/disk/SYZ/Pelvicdata/left_hip/source/left_hip_s0133.nii.gz,/disk/SYZ/Pelvicdata/left_hip/label/left_hip_s0133.nii.gz,The pubis of the left hip bone includes the pubic body and the pubic ramus.,1,"[-0.2433,0.3377,0.3431]"
/disk/SYZ/Pelvicdata/left_hip/source/left_hip_s0137.nii.gz,/disk/SYZ/Pelvicdata/left_hip/label/left_hip_s0137.nii.gz,The pubic body of the left hip bone connects with the right pubic body at the pubic symphysis.,1,"[-0.2489,0.362,0.3099]"
/disk/SYZ/Pelvicdata/left_hip/source/left_hip_s0139.nii.gz,/disk/SYZ/Pelvicdata/left_hip/label/left_hip_s0139.nii.gz,The superior pubic ramus of the left hip bone joins the ischial ramus to form the inferior boundary of the obturator foramen.,1,"[-0.3133,0.3567,0.2509]"
/disk/SYZ/Pelvicdata/left_hip/source/left_hip_s0141.nii.gz,/disk/SYZ/Pelvicdata/left_hip/label/left_hip_s0141.nii.gz,The obturator foramen of the left hip bone is formed by the ischium and pubis and is triangular or oval in shape.,1,"[-0.2945,0.3507,0.2592]"
/disk/SYZ/Pelvicdata/left_hip/source/left_hip_s0143.nii.gz,/disk/SYZ/Pelvicdata/left_hip/label/left_hip_s0143.nii.gz,The ilium of the left hip bone articulates with the sacrum via the sacroiliac joint.,1,"[-0.324,0.3304,0.2876]"
/disk/SYZ/Pelvicdata/left_hip/source/left_hip_s0145.nii.gz,/disk/SYZ/Pelvicdata/left_hip/label/left_hip_s0145.nii.gz,"The acetabulum of the left hip bone is located at the junction of the ilium, ischium, and pubis, forming the hip joint with the femoral head.",1,"[-0.2534,0.3931,0.2721]"
/disk/SYZ/Pelvicdata/left_hip/source/left_hip_s0147.nii.gz,/disk/SYZ/Pelvicdata/left_hip/label/left_hip_s0147.nii.gz,The acetabulum of the left hip bone has a labrum that deepens the joint socket.,1,"[-0.1941,0.3151,0.2779]"
/disk/SYZ/Pelvicdata/left_hip/source/left_hip_s0150.nii.gz,/disk/SYZ/Pelvicdata/left_hip/label/left_hip_s0150.nii.gz,"The acetabulum of the left hip bone has an acetabular notch below, which serves as a passage for blood vessels and nerves.",1,"[-0.1371,0.2505,0.2701]"
/disk/SYZ/Pelvicdata/left_hip/source/left_hip_s0151.nii.gz,/disk/SYZ/Pelvicdata/left_hip/label/left_hip_s0151.nii.gz,"Axial CT images show the fusion areas of the ilium, ischium, and pubis in the left hip bone.",1,"[-0.23,0.2967,0.166]"
/disk/SYZ/Pelvicdata/left_hip/source/left_hip_s0153.nii.gz,/disk/SYZ/Pelvicdata/left_hip/label/left_hip_s0153.nii.gz,Sagittal CT images demonstrate the morphology of the iliac crest and ischial tuberosity of the left hip bone.,1,"[-0.2944,0.3465,0.1549]"
/disk/SYZ/Pelvicdata/left_hip/source/left_hip_s0157.nii.gz,/disk/SYZ/Pelvicdata/left_hip/label/left_hip_s0157.nii.gz,Coronal CT images show the articular relationship between the acetabulum of the left hip bone and the femoral head.,1,"[-0.1998,0.2754,0.3204]"
/disk/SYZ/Pelvicdata/left_hip/source/left_hip_s0158.nii.gz,/disk/SYZ/Pelvicdata/left_hip/label/left_hip_s0158.nii.gz,"On CT images, the iliac wing of the left hip bone appears as a fan-shaped high-density shadow.",1,"[-0.2861,0.3122,0.1838]"
/disk/SYZ/Pelvicdata/left_hip/source/left_hip_s0161.nii.gz,/disk/SYZ/Pelvicdata/left_hip/label/left_hip_s0161.nii.gz,3D CT reconstruction clearly shows the overall morphology and bony landmarks of the left hip bone.,1,"[-0.1992,0.3068,0.2384]"
/disk/SYZ/Pelvicdata/left_hip/source/left_hip_s0163.nii.gz,/disk/SYZ/Pelvicdata/left_hip/label/left_hip_s0163.nii.gz,"On CT images, the anterior superior iliac spine (ASIS) and posterior superior iliac spine (PSIS) of the left hip bone appear as prominent high-density projections.",1,"[-0.2892,0.3783,0.4001]"
/disk/SYZ/Pelvicdata/left_hip/source/left_hip_s0166.nii.gz,/disk/SYZ/Pelvicdata/left_hip/label/left_hip_s0166.nii.gz,Axial CT images show the obturator foramen of the left hip bone as a low-density area surrounded by high-density cortical bone.,1,"[-0.3211,0.331,0.3351]"
/disk/SYZ/Pelvicdata/left_hip/source/left_hip_s0168.nii.gz,/disk/SYZ/Pelvicdata/left_hip/label/left_hip_s0168.nii.gz,Sagittal CT images show the connection between the ischial ramus and pubic ramus of the left hip bone.,1,"[-0.2616,0.308,0.277]"
/disk/SYZ/Pelvicdata/left_hip/source/left_hip_s0171.nii.gz,/disk/SYZ/Pelvicdata/left_hip/label/left_hip_s0171.nii.gz,"On CT images, the iliac fossa of the left hip bone appears as a concave low-density area.",1,"[-0.2495,0.3356,0.8497]"
/disk/SYZ/Pelvicdata/left_hip/source/left_hip_s0174.nii.gz,/disk/SYZ/Pelvicdata/left_hip/label/left_hip_s0174.nii.gz,"On CT images, the ischial tuberosity of the left hip bone appears as a high-density projection.",1,"[-0.2367,0.2899,0.2403]"
/disk/SYZ/Pelvicdata/left_hip/source/left_hip_s0178.nii.gz,/disk/SYZ/Pelvicdata/left_hip/label/left_hip_s0178.nii.gz,Coronal CT images show the sacroiliac joint space of the left hip bone.,1,"[-0.2152,0.303,0.2791]"
/disk/SYZ/Pelvicdata/left_hip/source/left_hip_s0179.nii.gz,/disk/SYZ/Pelvicdata/left_hip/label/left_hip_s0179.nii.gz,"On CT images, the overall morphology and bony landmarks of the left hip bone are clearly visible.",1,"[-0.2778,0.3471,0.6833]"
/disk/SYZ/Pelvicdata/left_hip/source/left_hip_s0182.nii.gz,/disk/SYZ/Pelvicdata/left_hip/label/left_hip_s0182.nii.gz,3D CT reconstruction can show the spatial position of the left hip bone within the pelvis.,1,"[-0.2839,0.3259,0.1147]"
/disk/SYZ/Pelvicdata/left_hip/source/left_hip_s0183.nii.gz,/disk/SYZ/Pelvicdata/left_hip/label/left_hip_s0183.nii.gz,"On CT images, the rim of the acetabulum of the left hip bone is smooth and appears as a high-density shadow.",1,"[-0.235,0.328,0.2717]"
/disk/SYZ/Pelvicdata/left_hip/source/left_hip_s0188.nii.gz,/disk/SYZ/Pelvicdata/left_hip/label/left_hip_s0188.nii.gz,"Axial CT images show the three-dimensional spatial relationship between the ilium, ischium, and pubis of the left hip bone.",1,"[-0.1961,0.2875,0.2763]"
/disk/SYZ/Pelvicdata/left_hip/source/left_hip_s0190.nii.gz,/disk/SYZ/Pelvicdata/left_hip/label/left_hip_s0190.nii.gz,"On CT images, the cortical bone around the obturator foramen of the left hip bone is clearly visible.",1,"[-0.2685,0.3239,0.1124]"
/disk/SYZ/Pelvicdata/left_hip/source/left_hip_s0192.nii.gz,/disk/SYZ/Pelvicdata/left_hip/label/left_hip_s0192.nii.gz,"The left hip bone is formed by the fusion of the ilium, ischium, and pubis, forming the main structure of the left pelvis.",1,"[-0.204,0.3049,0.3158]"
/disk/SYZ/Pelvicdata/left_hip/source/left_hip_s0194.nii.gz,/disk/SYZ/Pelvicdata/left_hip/label/left_hip_s0194.nii.gz,"The left hip bone connects to the sacrum via the sacroiliac joint, providing posterior support for the pelvic ring.",1,"[-0.2326,0.2655,0.2483]"
/disk/SYZ/Pelvicdata/left_hip/source/left_hip_s0196.nii.gz,/disk/SYZ/Pelvicdata/left_hip/label/left_hip_s0196.nii.gz,"On axial CT, the left hip bone appears as a ""C-shaped"" structure surrounding the acetabulum.",1,"[-0.0847,0.3481,-0.313]"
/disk/SYZ/Pelvicdata/left_hip/source/left_hip_s0204.nii.gz,/disk/SYZ/Pelvicdata/left_hip/label/left_hip_s0204.nii.gz,"On coronal CT, the left hip bone has a ""heart-shaped"" outline formed by the ilium, ischium, and pubis.",1,"[-0.2115,0.3626,0.3252]"
/disk/SYZ/Pelvicdata/left_hip/source/left_hip_s0206.nii.gz,/disk/SYZ/Pelvicdata/left_hip/label/left_hip_s0206.nii.gz,"The left hip bone is situated inferior to the left lumbar vertebrae, forming the hip joint with the proximal femur.",1,"[-0.3911,0.3125,0.2457]"
/disk/SYZ/Pelvicdata/left_hip/source/left_hip_s0210.nii.gz,/disk/SYZ/Pelvicdata/left_hip/label/left_hip_s0210.nii.gz,"The left os coxae develops through fusion of three components - the ilium, ischium, and pubis - creating the primary bony framework of the left hemipelvis.",1,"[-0.3404,0.4487,0.8135]"
/disk/SYZ/Pelvicdata/left_hip/source/left_hip_s0212.nii.gz,/disk/SYZ/Pelvicdata/left_hip/label/left_hip_s0212.nii.gz,"The left hip bone and sacrum together form the acetabulum, whose articular surface is a hemispherical socket matching the femoral head.",1,"[-0.1749,0.2566,0.3171]"
/disk/SYZ/Pelvicdata/left_hip/source/left_hip_s0216.nii.gz,/disk/SYZ/Pelvicdata/left_hip/label/left_hip_s0216.nii.gz,"The left hip bone contributes to the obturator foramen, appearing as an oval structure on CT coronal views.",1,"[-0.2605,0.3323,0.1755]"
/disk/SYZ/Pelvicdata/left_hip/source/left_hip_s0218.nii.gz,/disk/SYZ/Pelvicdata/left_hip/label/left_hip_s0218.nii.gz,"The left hip bone forms a stable biomechanical structure with the spine, right hip bone, and femur via the sacroiliac joint, pubic symphysis, and acetabulum.",1,"[-0.2346,0.2872,0.1715]"
/disk/SYZ/Pelvicdata/left_hip/source/left_hip_s0224.nii.gz,/disk/SYZ/Pelvicdata/left_hip/label/left_hip_s0224.nii.gz,"The left hip bone consists of the ilium, ischium, and pubis, which fuse during skeletal maturation to form a stable pelvic structure.",1,"[-0.1215,0.5666,-0.7379]"
/disk/SYZ/Pelvicdata/left_hip/source/left_hip_s0227.nii.gz,/disk/SYZ/Pelvicdata/left_hip/label/left_hip_s0227.nii.gz,"The ilium of the left hip bone extends superiorly, providing a large surface area for the attachment of gluteal and abdominal muscles.",1,"[-0.2903,0.2974,0.1704]"
/disk/SYZ/Pelvicdata/left_hip/source/left_hip_s0228.nii.gz,/disk/SYZ/Pelvicdata/left_hip/label/left_hip_s0228.nii.gz,"The left ischium features the ischial tuberosity, a roughened surface that serves as the primary weight-bearing structure while seated.",1,"[-0.231,0.3444,0.2826]"
/disk/SYZ/Pelvicdata/left_hip/source/left_hip_s0235.nii.gz,/disk/SYZ/Pelvicdata/left_hip/label/left_hip_s0235.nii.gz,"The pubis of the left hip bone is located anteriorly and contributes to the pubic symphysis, ensuring structural integrity between both hip bones.",1,"[-0.1748,0.287,0.0008]"
/disk/SYZ/Pelvicdata/left_hip/source/left_hip_s0238.nii.gz,/disk/SYZ/Pelvicdata/left_hip/label/left_hip_s0238.nii.gz,"The left acetabulum is a concave, cup-shaped structure that articulates with the femoral head, facilitating a wide range of hip joint movements.",1,"[-0.1678,0.2656,0.1947]"
/disk/SYZ/Pelvicdata/left_hip/source/left_hip_s0239.nii.gz,/disk/SYZ/Pelvicdata/left_hip/label/left_hip_s0239.nii.gz,"The iliac crest of the left hip bone serves as an important landmark for muscle attachment, including the external oblique and tensor fasciae latae.",1,"[-0.3097,0.3266,0.2657]"
/disk/SYZ/Pelvicdata/left_hip/source/left_hip_s0243.nii.gz,/disk/SYZ/Pelvicdata/left_hip/label/left_hip_s0243.nii.gz,"The anterior inferior iliac spine of the left hip bone provides origin for the rectus femoris muscle, a key component of the quadriceps group.",1,"[-0.2777,0.3391,0.3171]"
/disk/SYZ/Pelvicdata/left_hip/source/left_hip_s0244.nii.gz,/disk/SYZ/Pelvicdata/left_hip/label/left_hip_s0244.nii.gz,"The auricular surface of the left hip bone articulates with the sacrum, forming the sacroiliac joint, which supports body weight transfer.",1,"[-0.293,0.3466,0.4023]"
/disk/SYZ/Pelvicdata/left_hip/source/left_hip_s0248.nii.gz,/disk/SYZ/Pelvicdata/left_hip/label/left_hip_s0248.nii.gz,"The left hip bone's greater sciatic notch allows passage of the sciatic nerve, the largest nerve in the human body, towards the lower limb.",1,"[-0.2047,0.3292,0.2298]"
/disk/SYZ/Pelvicdata/left_hip/source/left_hip_s0250.nii.gz,/disk/SYZ/Pelvicdata/left_hip/label/left_hip_s0250.nii.gz,"The pectineal line of the left hip bone extends from the pubis and serves as an attachment point for the pectineus muscle, aiding in hip flexion.",1,"[-0.201,0.339,0.3057]"
/disk/SYZ/Pelvicdata/left_hip/source/left_hip_s0255.nii.gz,/disk/SYZ/Pelvicdata/left_hip/label/left_hip_s0255.nii.gz,"The arcuate line of the left hip bone marks the transition between the true and false pelvis, an essential landmark in obstetrics.",1,"[-0.2141,0.3554,0.2438]"
/disk/SYZ/Pelvicdata/left_hip/source/left_hip_s0257.nii.gz,/disk/SYZ/Pelvicdata/left_hip/label/left_hip_s0257.nii.gz,"The ischial spine of the left hip bone projects medially and serves as an attachment point for the sacrospinous ligament, stabilizing the pelvis.",1,"[-0.2899,0.3444,0.2768]"
/disk/SYZ/Pelvicdata/left_hip/source/left_hip_s0261.nii.gz,/disk/SYZ/Pelvicdata/left_hip/label/left_hip_s0261.nii.gz,"The left obturator foramen is a large opening enclosed by the obturator membrane, allowing passage of obturator nerves and vessels.",1,"[-0.2422,0.2661,0.2711]"
/disk/SYZ/Pelvicdata/left_hip/source/left_hip_s0287.nii.gz,/disk/SYZ/Pelvicdata/left_hip/label/left_hip_s0287.nii.gz,"The left hip bone's iliopectineal eminence represents the junction of the ilium and pubis, contributing to pelvic strength.",1,"[-0.2437,0.3247,0.907]"
/disk/SYZ/Pelvicdata/left_hip/source/left_hip_s0291.nii.gz,/disk/SYZ/Pelvicdata/left_hip/label/left_hip_s0291.nii.gz,"The left iliac fossa forms a concave surface housing the iliacus muscle, which plays a crucial role in hip flexion.",1,"[-0.2522,0.3838,0.1679]"
/disk/SYZ/Pelvicdata/left_hip/source/left_hip_s0293.nii.gz,/disk/SYZ/Pelvicdata/left_hip/label/left_hip_s0293.nii.gz,"The left hip bone's pubic tubercle is a small projection at the pubic crest, serving as an attachment for the inguinal ligament.",1,"[-0.2642,0.281,0.2575]"
/disk/SYZ/Pelvicdata/left_hip/source/left_hip_s0298.nii.gz,/disk/SYZ/Pelvicdata/left_hip/label/left_hip_s0298.nii.gz,The sacropelvic surface of the left ilium articulates with the sacrum and supports the weight of the axial skeleton.,1,"[-0.3023,0.3785,0.3757]"
/disk/SYZ/Pelvicdata/left_hip/source/left_hip_s0300.nii.gz,/disk/SYZ/Pelvicdata/left_hip/label/left_hip_s0300.nii.gz,"The left acetabular notch forms the inferior gap in the acetabulum, allowing blood vessels to access the joint.",1,"[-0.1028,0.2834,0.2894]"
/disk/SYZ/Pelvicdata/left_hip/source/left_hip_s0307.nii.gz,/disk/SYZ/Pelvicdata/left_hip/label/left_hip_s0307.nii.gz,"The left superior pubic ramus extends laterally from the pubis, aiding in the stabilization of the pelvic ring.",1,"[-0.2227,0.2988,-0.4679]"
/disk/SYZ/Pelvicdata/left_hip/source/left_hip_s0308.nii.gz,/disk/SYZ/Pelvicdata/left_hip/label/left_hip_s0308.nii.gz,The left inferior pubic ramus contributes to the obturator foramen and forms part of the pelvic floor support.,1,"[-0.295,0.3347,0.3217]"
/disk/SYZ/Pelvicdata/left_hip/source/left_hip_s0314.nii.gz,/disk/SYZ/Pelvicdata/left_hip/label/left_hip_s0314.nii.gz,"The left hip bone is integral to the pelvic girdle, providing attachment for ligaments and muscles.",1,"[-0.2069,0.253,0.2749]"
/disk/SYZ/Pelvicdata/left_hip/source/left_hip_s0319.nii.gz,/disk/SYZ/Pelvicdata/left_hip/label/left_hip_s0319.nii.gz,"The left os coxae consists of three fused bones——the ilium, pubis, and ischium——creating a robust pelvic structure.",1,"[-0.302,0.3633,0.0772]"
/disk/SYZ/Pelvicdata/left_hip/source/left_hip_s0320.nii.gz,/disk/SYZ/Pelvicdata/left_hip/label/left_hip_s0320.nii.gz,"Anatomically, the left hip bone is formed by the fusion of the ilium, pubis, and ischium, resulting in a stable and durable framework.",1,"[-0.3237,0.3285,0.2913]"
